count,mean,std,min,25%,50%,75%,max
100.0,0.5987,0.11,0.2177,0.5513,0.6184,0.6612,0.7597
100.0,0.3889,0.1318,0.1159,0.2909,0.3752,0.5,0.6829
100.0,0.7976,0.1682,0.4178,0.6315,0.8149,1.0,1.0
100.0,0.3983,0.4418,0.0,0.0,0.1666,1.0,1.0
100.0,0.6848,0.2374,0.3684,0.4716,0.6114,1.0,1.0
100.0,0.85,0.3589,0.0,1.0,1.0,1.0,1.0
100.0,0.7333,0.3871,0.0,0.4583,1.0,1.0,1.0
100.0,0.4153,0.2389,0.0,0.3333,0.4,0.6167,1.0
100.0,0.8733,0.2681,0.0,1.0,1.0,1.0,1.0
100.0,1.7341,0.3479,1.1055,1.5241,1.6308,1.8908,3.0551
100.0,0.0006,0.0001,0.0003,0.0005,0.0006,0.0007,0.0008
100.0,0.2024,0.1682,0.0,0.0,0.1851,0.3686,0.5822
