run_id,experiment_id,timestamp,example_id,query,prompt_strategy,top_k,embedding_backend,answer,abstained,answer_word_count,latency_ms,estimated_cost_usd,overall_score,answer_relevance,groundedness,citation_coverage,faithfulness_proxy,hallucination_risk,hit_at_k,reciprocal_rank,context_precision,context_recall,failure_modes,has_errors,has_warnings
c1146bf7-f8fc-48b6-9cdb-1ad48d5b962d,baseline,2026-03-09T17:28:18.098254,eval_001,What is the standard refund window for NovaSaaS subscriptions?,baseline,5,tfidf,"It supports all core resource types and allows clients to request exactly the data they need, reducing over-fetching. Documentation is available at developers.novasaas.io/graphql. Zapier and Make NovaSaaS is available as a Zapier app with 200+ supported triggers and actions. A Make (formerly Integromat) module is also available.",False,47,2.1278000003803754,0.000653,0.5081,0.2553,0.8336,0.0,0.3868,0.1664,1.0,1.0,0.4,1.0,missing_citation,False,False
5f28f1e7-0134-472f-8668-425be07eb083,baseline,2026-03-09T17:28:18.109851,eval_002,How many users can be added under the Starter plan?,baseline,5,tfidf,"NovaSaaS Pricing Plans Starter Plan — Free The Starter plan is permanently free and supports up to 5 user seats. It includes the core project management features, 10 GB of storage, email support with 48-hour response SLA, and access to the NovaSaaS API at 1,000 requests per minute. The Starter plan does not include SSO, advanced analytics, or custom roles. Growth Plan — $29/seat/month The Growth plan supports up to 25 user seats.",False,73,2.1653999992850004,0.000694,0.643,0.1935,0.7905,1.0,0.4672,0.2095,1.0,1.0,0.4,1.0,none,False,False
81002ffb-58af-499e-8b8c-b10c1755487c,baseline,2026-03-09T17:28:18.129350,eval_003,What SSO providers does NovaSaaS support?,baseline,5,tfidf,"NovaSaaS Pricing Plans Starter Plan — Free The Starter plan is permanently free and supports up to 5 user seats. It includes the core project management features, 10 GB of storage, email support with 48-hour response SLA, and access to the NovaSaaS API at 1,000 requests per minute. The Starter plan does not include SSO, advanced analytics, or custom roles. Features include all Starter features plus: 100 GB storage, priority email support with 12-hour response SLA, advanced analytics dashboard, webhook integrations, custom branding, and 10,000 API requests per minute.",False,89,1.8853000001399776,0.000735,0.4864,0.2623,0.799,0.0,0.542,0.201,1.0,1.0,0.2,1.0,missing_citation,False,False
e9b2ab8b-291e-4f32-acab-c9b50299aa74,baseline,2026-03-09T17:28:18.150379,eval_004,What is the maximum file size for attachments in NovaSaaS?,baseline,5,tfidf,HTTP 500 Internal Server Error: NovaSaaS-side error (report to support). Pagination List endpoints return paginated results with a maximum of 100 items per page. Use the cursor parameter for cursor-based pagination (preferred) or page and per_page for offset-based pagination. The response includes next_cursor (or null if last page) and total_count.,False,50,1.5199000008578878,0.000628,0.5405,0.3333,0.8723,0.0,0.4579,0.1277,1.0,1.0,0.4,1.0,missing_citation,False,False
f701e3bc-8a88-4d3e-9f64-e891ef692c06,baseline,2026-03-09T17:28:18.168437,eval_005,What is the uptime SLA for the Enterprise plan?,baseline,5,tfidf,"Features include all Growth features plus: SSO via SAML 2.0, audit logs, custom roles and permissions, advanced workflow automation, dedicated account manager, and priority phone and chat support with 4-hour response SLA. Business plan customers also receive a 99.5% uptime SLA. Enterprise Plan — Custom pricing The Enterprise plan is designed for organizations with more than 50 users or special compliance requirements. Features include all Business features plus: unlimited seats, 99.9% uptime SLA, dedicated infrastructure (optional), custom data residency, HIPAA BAA availability, 24/7 dedicated support with 1-hour response SLA for critical issues, SSO with SCIM provisioning, and custom integrations.",False,99,1.8371000005572569,0.000757,0.5614,0.3784,0.8172,0.0,0.7137,0.1828,1.0,0.5,0.4,1.0,missing_citation,False,False
bd79f45b-7a4d-4251-9157-1537aae2b4b0,baseline,2026-03-09T17:28:18.188685,eval_006,Can a customer downgrade from Business to Starter mid-cycle?,baseline,5,tfidf,"NovaSaaS Pricing Plans Starter Plan — Free The Starter plan is permanently free and supports up to 5 user seats. It includes the core project management features, 10 GB of storage, email support with 48-hour response SLA, and access to the NovaSaaS API at 1,000 requests per minute. The Starter plan does not include SSO, advanced analytics, or custom roles. Growth Plan — $29/seat/month The Growth plan supports up to 25 user seats.",False,73,1.8299999992450464,0.000694,0.5915,0.127,0.7887,0.5,0.5392,0.2113,1.0,1.0,0.6,1.0,none,False,False
8d1719ff-a418-4a4f-ad71-021c26bb3d1b,baseline,2026-03-09T17:28:18.208354,eval_007,What happens to user data after an account is deleted?,baseline,5,tfidf,"NovaSaaS Data Lifecycle Policy Active Account Data All customer data in active accounts is stored indefinitely until explicitly deleted by the customer or until the account is cancelled. Customers retain full ownership of their data. NovaSaaS does not use customer data for training machine learning models or for advertising purposes. Account Cancellation and Data Deletion Upon account cancellation, NovaSaaS retains all workspace data for 30 days in a soft-deleted state.",False,70,1.943100000062259,0.0007,0.5786,0.3019,0.5894,1.0,0.4082,0.4106,1.0,1.0,0.2,1.0,none,False,False
d36674a5-9d59-457c-bce5-195e781f7b75,baseline,2026-03-09T17:28:18.228024,eval_008,Is NovaSaaS GDPR compliant? What mechanisms are provided for data subject requests?,baseline,5,tfidf,provided in response to legal process or regulatory requests. Right to Erasure (GDPR) EU residents may request erasure of their personal data via the Data Subject Request portal at trust.novasaas.io. Erasure requests are processed within 30 days. Erasure applies to personal data in production systems.,False,45,1.7963000009331154,0.000651,0.5339,0.6829,0.601,0.0,0.3706,0.399,1.0,1.0,0.4,1.0,missing_citation,False,False
517e9cf4-8155-4963-a92f-f5f583c5dd60,baseline,2026-03-09T17:28:18.247148,eval_009,A company with 12 employees needs SSO and 99.9% uptime. Which plan should they choose and what will it cost approximately?,baseline,5,tfidf,"Features include all Growth features plus: SSO via SAML 2.0, audit logs, custom roles and permissions, advanced workflow automation, dedicated account manager, and priority phone and chat support with 4-hour response SLA. Business plan customers also receive a 99.5% uptime SLA. Enterprise Plan — Custom pricing The Enterprise plan is designed for organizations with more than 50 users or special compliance requirements. Features include all Business features plus: unlimited seats, 99.9% uptime SLA, dedicated infrastructure (optional), custom data residency, HIPAA BAA availability, 24/7 dedicated support with 1-hour response SLA for critical issues, SSO with SCIM provisioning, and custom integrations.",False,99,2.00330000006943,0.000753,0.6662,0.3721,0.8152,0.3333,0.6795,0.1848,1.0,1.0,0.8,1.0,none,False,False
22e615b2-fc6d-4b0d-b702-7b5aad71556b,baseline,2026-03-09T17:28:18.267786,eval_010,"What are the steps to migrate data from a legacy CRM into NovaSaaS, and what data formats are supported?",baseline,5,tfidf,"It supports all core resource types and allows clients to request exactly the data they need, reducing over-fetching. Documentation is available at developers.novasaas.io/graphql. Zapier and Make NovaSaaS is available as a Zapier app with 200+ supported triggers and actions. A Make (formerly Integromat) module is also available.",False,47,1.5880999999353662,0.00066,0.6465,0.56,0.8348,0.5,0.4077,0.1652,1.0,0.3333,0.4,1.0,none,False,False
